plot_no,plot_shp,plot_area,plot_id,biomass_tf,area_ha,lon,lat
1,Plot_1Nobiomass.shp,1.1239350000000001,NoBiomass1,0,1.1239353207014697,-73.12726764519799,19.65227347482099
2,Plot2No_biomass.shp,1.072981,NoBiomass2,0,1.0729808980893139,-72.99539759443623,19.618382407349785
3,Plot3No_biomass.shp,1.023887,NoBiomass3,0,1.0238873628870888,-72.61405434692237,19.43083900443436
4,Plot4No_biomass.shp,1.027183,NoBiomass4,0,1.0271834098345307,-72.89981449122683,19.555676314260275
5,Plot5No_biomass.shp,1.0124520000000001,NoBiomass5,0,1.0124517341769579,-73.02094582391346,19.61743170597715
6,Plot6No_biomass.shp,0.932226,NoBiomass6,0,0.9322260502829198,-72.62106590618131,19.452013220789038
7,Plot7No_biomass.shp,1.170944,NoBiomass7,0,1.17094358307767,-72.27385537264763,19.305927460195228
8,Plot8No_biomass.shp,0.522302,NoBiomass8,0,0.5223024448820822,-72.27715659374603,19.31029524556813
9,Augier.shp,2.503314,Augier,1,2.5033137896083484,-72.71282601567007,18.950735426664714
10,Plot_1BO.shp,0.757182,1BO,1,0.757181793773023,-73.3304615852657,19.675004056802557
11,Plot_2BO.shp,0.355794,2BO,1,0.355794360319707,-73.35978189135926,19.68597196502302
12,1Cuyo.shp,0.9041629999999999,1cuyo,1,0.904163164141371,-72.6904959024102,18.963782072958395
13,2_cuyo.shp,1.061428,2_cuyo,1,1.0614281425271326,-72.70093629078653,18.958341971521282
14,Decameron.shp,0.545582,Decameron,1,0.5455818163120688,-72.72349044088512,18.95753233972011
15,Deluge_.shp,2.0024740000000003,Deluge,1,2.002474007532567,-72.717323423668,18.971487925042155
16,2Delugert.shp,0.797335,Deluger2,1,0.797335054089227,-72.72807975903955,18.966522324212537
17,3Deluger.shp,0.701758,Deluger3,1,0.70175814747026,-72.72310015922753,18.964322217637815
18,Plot_1GON.shp,0.645644,1GON,1,0.6456443000124027,-72.60309224142718,19.436771163788805
19,Plot_2GON.shp,0.859093,2GON,1,0.8590930513487165,-72.60622120272218,19.431770712541674
20,Plot_3GON_p.shp,1.361225,3GON,1,1.3612247648510676,-72.60544805880386,19.44938264606967
21,1casimir.shp,1.9310610000000001,1casimir,1,1.9310609179761502,-72.0382140704115,19.137964121494836
22,2casimir.shp,0.824874,2Casimir,1,0.8248742764081132,-72.04016535231764,19.14405733605838
23,1cobana.shp,1.244768,1Cobana,1,1.2447683228282105,-72.011682204375,19.18131545918651
24,2cobana.shp,0.607441,2Cobana,1,0.607441353378418,-72.00796321199043,19.185696010437834
25,Lerochekit.shp,0.45231400000000005,Lerochekit,1,0.45231437091847987,-72.05475182073076,19.155483823070604
26,Pandiassou.shp,0.456313,Pandiassou,1,0.45631256502295864,-72.04545192498183,19.13424531459627
27,Lemer.shp,0.40135,Lemer,1,0.40135034912056494,-72.70239398268185,18.942999018153067
28,Marelish.shp,0.5100899999999999,Malerish,1,0.5100900843046731,-72.71883743141318,18.971666872724192
29,Campeche.shp,0.870332,Campeche,1,0.8703316975313621,-72.00445304953503,19.132185579703464
30,Lemanguier.shp,0.9246549999999999,Lemanguier,1,0.9246551162009295,-72.00001490224979,19.131481730862692
31,Pewpapay.shp,0.6284390000000001,Pewpapay,1,0.628438527698814,-71.99257975715311,19.143316924444502
32,Pewpapay2.shp,0.891474,Pewpapay2,1,0.8914743468811925,-71.9878597859309,19.14597933924072
33,Rantnovi.shp,0.31140300000000004,Ratnovi,1,0.311402782096867,-72.12982079171644,19.13781955894581
34,Sapate.shp,0.569562,Sapate,1,0.5695620298784204,-72.00255308474203,19.10493077253476
35,Tecase.shp,1.1224,Tecase,1,1.1223951332541635,-72.05225685456959,19.13401749272819
36,Pandiassou2.shp,0.660323,Pandiassou2_Namo,1,0.6603228919196369,-72.04804951493135,19.130876048141133
